x,y
453.424,245.00099
546.178,397.087
99.916,193.109
560.42,278.871
794.631,290.87802
346.272,384.43402
45.392,436.27002
626.654,223.388
320.27402,298.752
748.951,312.009
29.853,296.88
522.05,408.14902
511.20102,207.247
821.71497,376.37302
101.809006,364.99802
240.394,387.487
523.245,329.819
304.758,418.047
754.454,273.892
147.00099,327.384
875.98596,368.405
263.83902,353.68402
517.52997,250.209
545.108,173.282
464.126,446.376
532.737,315.036
477.63602,522.92096
249.172,326.741
199.80899,473.532
335.547,525.784
249.249,384.601
733.88995,243.83699
184.52899,309.314
746.77795,330.33102
496.439,458.228
727.83997,389.656
478.915,245.901
517.224,183.565
755.733,358.76202
462.17102,295.302
39.378998,260.84802
162.965,242.342
714.56,272.564
634.222,377.99802
218.44,423.858
823.06696,253.842
432.545,470.08102
443.075,533.92395
631.67096,242.845
493.82202,152.724
294.53,436.22
86.626,311.207
588.372,180.308
760.759,340.05002
356.789,333.075
118.873,313.556
724.662,320.80103
383.19302,546.597
715.234,366.384
128.508,326.174
201.081,493.172
572.664,192.43799
304.737,509.19202
521.076,179.00499
788.38,333.92
438.961,343.314
442.027,436.28802
381.599,494.207
392.93402,307.27402
478.821,331.58002
256.41302,243.736
732.436,341.893
184.775,405.54202
720.323,392.63602
608.053,392.34302
673.488,254.946
234.19499,466.462
695.057,120.025
390.41702,339.513
510.467,338.08102
172.84799,239.86699
444.677,540.97797
457.01202,365.88202
703.332,237.024
693.048,272.37003
775.586,203.165
491.491,240.70999
399.506,507.045
442.518,268.643
375.42,417.146
521.461,287.87003
419.22,496.41
533.258,288.29102
326.638,540.675
581.518,131.478
375.978,368.59702
431.312,240.448
878.725,279.34702
305.475,401.504
220.829,340.069
574.86,230.028
522.899,255.39299
166.81999,394.704
184.01999,455.064
720.438,278.22702
431.62402,243.732
157.76399,390.711
830.73596,215.634
100.571,360.527
336.03802,502.797
213.79999,456.659
222.24199,358.402
171.286,213.847
617.44696,223.303
490.44,417.272
243.86699,402.35602
532.61,364.38
716.398,461.55502
376.198,332.85202
163.94699,316.70502
374.452,536.484
826.113,241.527
529.04095,230.662
723.518,434.47702
181.15999,327.827
512.35297,375.146
258.329,438.181
335.36902,215.79399
432.588,285.949
43.111,372.478
178.26,334.691
407.53702,185.924
535.61896,221.521
411.96902,352.617
426.566,244.606
459.627,477.92902
225.415,369.825
818.62897,233.651
271.066,325.729
83.666,346.019
413.337,459.203
577.323,215.952
632.341,42.354
616.07697,237.194
225.33899,239.20999
304.888,312.64
870.38696,298.726
388.758,304.066
697.47797,281.651
297.26102,406.35703
488.178,205.527
748.821,306.036
439.521,416.82602
468.646,377.439
656.932,397.608
82.649,329.803
254.054,373.37003
390.396,392.38602
257.383,369.941
627.482,289.116
341.573,332.30902
437.437,337.786
653.883,257.047
360.071,318.987
400.449,468.993
446.521,451.16
225.26799,264.62802
239.52899,267.764
741.113,381.289
152.45299,291.134
135.122,247.226
729.88995,394.92502
445.99802,562.178
535.522,202.739
17.14,311.78
309.38602,435.699
222.29599,310.14902
366.803,595.95197
787.902,305.509
560.984,213.95299
795.071,351.15802
209.937,233.827
502.062,183.27899
787.643,275.048
517.894,302.363
216.03,227.884
729.703,190.172
641.005,423.836
169.611,317.12802
361.08102,284.836
545.50397,208.411
180.708,289.16302
786.057,209.02899
161.13199,326.669
652.711,240.289
85.902,326.083
571.68896,362.55502
452.605,421.74902
144.709,324.71902
49.703,271.45102
322.215,440.69
472.021,320.377
685.359,426.01
649.87695,382.99902
732.862,298.057
157.605,373.795
328.398,425.647
555.141,289.202
493.85703,493.924
748.521,354.03302
183.525,235.18799
221.88899,406.79602
566.66095,164.676
689.016,453.57
305.74902,439.932
697.274,298.755
283.683,429.91702
425.20602,425.12802
573.76196,458.56802
773.477,354.24002
613.16095,460.56302
360.695,561.863
252.59099,388.83502
327.14102,346.281
795.50195,269.117
378.724,591.54
737.30096,423.81302
72.629005,333.85602
249.301,421.73502
290.821,339.371
719.055,434.047
275.738,474.23102
136.43599,380.493
375.03,250.68599
187.43599,442.81302
883.433,324.928
497.064,288.64902
251.106,558.914
22.396,361.66702
546.363,270.84402
358.337,342.439
404.733,452.63602
443.56,318.881
136.467,327.112
262.814,299.83502
347.862,290.77402
788.82697,291.877
475.117,278.022
375.683,494.98502
836.328,270.56702
676.29,438.108
586.272,320.756
227.60399,270.42603
734.298,205.32799
254.273,476.501
68.574005,390.088
651.98096,392.014
410.74902,527.109
342.953,549.912
175.571,346.726
668.272,257.41202
481.073,512.98096
170.385,307.629
177.592,360.69302
162.65399,424.03802
157.58499,274.674
492.603,484.221
636.589,216.409
402.004,305.05002
335.63,444.812
650.742,323.178
230.14699,284.46002
55.61,404.02002
625.785,230.98799
345.45602,559.242
372.431,460.159
822.531,227.487
429.963,374.536
41.099,383.06702
248.734,447.15402
783.13196,276.42603
397.89902,425.44702
312.59402,446.685
481.19302,479.448
221.789,427.84802
435.652,369.363
584.227,297.33502
296.01202,432.74002
666.875,329.96402
737.373,129.062
211.989,260.087
819.203,289.927
240.944,449.875
447.15802,573.09796
268.35202,299.267
803.56195,336.99802
679.855,238.536
186.409,349.526
133.331,402.793
70.850006,303.151
535.622,180.95299
624.094,339.68402
714.113,162.83899
313.782,388.72
500.92102,191.64099
500.30103,399.922
96.179,394.09302
34.828,333.924
390.26,411.252
195.886,347.51602
129.344,354.213
486.55902,253.40799
271.52002,255.77199
356.945,559.91
