n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
6,395.83203,461.47137,395.8721,462.7189,394.5256,464.36224,390.27753,463.88287,390.2627,463.83972,391.71713,459.9709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,772.0673,315.6971,771.4375,318.78113,767.32306,319.39075,766.0704,317.36447,767.0472,314.6027,767.99164,313.97058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,112.91061,490.50473,116.17319,500.12903,108.03475,513.5417,90.39388,508.5779,93.73771,487.87845,103.627754,485.57098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,510.49146,318.4747,510.307,318.04895,506.40262,315.8826,503.81775,317.97272,504.5539,319.78635,508.9968,320.85495,509.88474,320.2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,25.123854,364.27298,20.736609,365.35596,22.683868,370.0324,23.886278,370.50443,27.364143,367.94925,27.403904,367.82056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,402.9256,399.47595,402.13416,401.97513,399.60474,403.275,398.06583,401.65695,398.38327,398.37994,400.66263,397.73334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,379.33426,299.84546,378.87775,303.9112,377.63733,305.08716,377.47348,305.10754,374.38525,303.22424,373.75455,299.17462,376.46796,297.84656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,288.0447,211.82852,284.2513,213.80019,273.64908,206.13509,274.26373,200.67165,283.31888,193.8421,291.5335,196.32909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,797.4909,326.49658,799.0207,324.0834,802.79254,324.0978,803.60504,324.91714,801.63715,329.32516,800.714,329.51285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,532.9789,284.80276,532.66034,284.83328,531.8974,284.53653,530.1172,279.89807,530.55743,279.31656,533.9816,278.55695,534.1581,278.6363,535.3086,281.10223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,459.08612,436.32812,461.12894,438.80884,458.94266,441.32935,458.21597,441.35666,455.7434,438.76117,456.65778,436.05203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,404.91864,223.07997,411.58923,220.02533,411.64487,209.89127,404.00443,209.74324,400.4563,214.62607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,705.72546,288.88492,703.43823,292.082,700.4926,288.79807,702.07697,286.2403,704.0127,286.16824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,858.89105,242.13506,854.54645,238.14627,851.2774,242.10748,851.38715,242.93115,855.9684,246.20932,857.5411,246.15416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,324.2103,369.53323,326.8419,369.51492,326.30087,375.9843,325.99075,376.1803,325.32935,376.166,322.36758,373.25574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,379.48648,397.50644,377.87195,395.61603,379.54193,392.15536,380.13837,391.91895,383.2481,394.20157,383.2696,395.45865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,189.18098,464.4749,188.76904,465.5416,194.90555,471.64792,196.91736,470.04172,197.21,464.98846,192.99124,462.2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,381.4569,434.59396,384.04846,433.90213,384.85754,430.77704,384.43292,430.09415,381.15,429.47882,378.9757,432.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,391.25348,423.56082,392.6881,422.6267,395.7382,423.44418,395.59906,426.49448,393.46146,428.11832,391.6933,427.4887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,350.4794,460.66556,353.64136,464.11877,356.2334,462.21616,356.15625,460.3951,354.49704,458.6092,351.9896,458.91562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,324.34753,475.636,324.71075,472.24933,324.5561,471.96634,321.42,471.33865,318.72083,474.42865,321.22675,476.85864,323.74796,476.35593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,590.3489,435.72427,590.635,435.58167,594.5164,438.7189,593.8717,444.51733,591.99023,445.78033,587.72876,440.71738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,283.6576,390.16095,283.83258,390.05795,287.7101,391.7763,287.357,394.42032,283.86716,395.60327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,144.76694,245.94328,144.6029,246.22015,141.13873,247.49823,140.02242,246.68292,139.91245,244.27087,142.82602,241.92448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,747.85583,228.05988,747.1055,226.22708,742.76404,225.74176,741.7814,227.16933,745.4248,230.86009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,437.29623,321.6673,441.2208,322.8307,440.52682,326.38055,439.57602,326.8976,435.76712,325.76343,434.7955,324.1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,611.8684,318.87317,612.3715,320.60068,609.9551,324.20584,606.17896,323.056,605.58997,319.68033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
