n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
6,631.6889,563.5122,628.8162,546.3609,623.07056,543.1453,614.86743,543.7029,610.5503,556.78394,625.9463,570.13055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,225.64565,336.17322,225.20226,331.79086,228.21954,330.70654,229.22055,331.94778,228.76349,335.65298,227.18472,336.8247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,436.8292,456.94333,433.51816,456.7269,431.4242,453.9361,434.6304,451.438,435.90616,451.66928,437.77866,453.95004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,679.97876,435.97598,674.4626,435.23923,673.4699,437.56885,673.71686,438.5248,676.88727,440.66055,680.2686,439.5516,680.54517,439.04422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,312.9083,383.34912,312.4605,384.55756,316.5477,387.0238,318.25015,384.78174,316.68567,381.04776,316.28116,380.93076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,678.63525,524.03064,669.8045,537.17346,663.7307,534.4246,660.0766,522.0006,663.9222,517.7009,674.722,518.4357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,852.292,242.69037,847.36536,245.77562,845.83966,242.38083,847.4674,239.18857,851.87805,239.42133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,585.8541,63.790344,582.8385,55.27883,575.009,52.386066,567.7296,60.65648,576.2508,70.6353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,777.3377,236.39325,778.1679,231.8675,774.435,230.37051,773.66675,230.88663,773.15344,235.43835,776.535,236.88304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,681.7392,416.9312,680.5158,419.6045,676.19116,419.94495,676.2037,416.46243,678.9323,414.69632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,20.523226,240.13696,11.465481,246.06155,11.784986,247.14375,16.382145,250.99829,20.101957,251.09459,24.690187,246.50409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,632.2405,436.67828,628.41736,438.98624,630.9881,443.8056,633.5323,443.76724,634.5136,439.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,36.841087,244.29628,36.356926,249.40208,32.792458,252.40208,30.467283,252.59467,26.741644,246.71338,30.712574,243.12541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,315.2602,466.87082,310.40448,464.9887,309.43698,465.3137,308.89493,466.1801,309.97922,470.7788,314.19827,469.38455,315.34073,467.3595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,530.984,295.38318,529.6248,293.6799,529.8893,290.57602,534.04565,290.77078,534.99066,293.7842,534.186,295.50778,533.3411,295.90198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,530.5301,328.8605,534.4199,324.96164,536.87695,325.22183,537.3945,325.72467,538.0004,328.4909,535.8042,331.92624,530.8934,329.72195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,592.46704,448.634,590.4707,446.7725,590.803,441.04184,595.90375,441.69156,596.2788,443.93842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,588.4562,398.45245,589.4609,393.03598,593.10706,394.12753,593.91296,396.0499,591.9451,399.23483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,218.3488,474.1533,215.60466,472.88928,214.81035,470.23447,218.60414,469.19067,219.52551,470.33008,218.7692,473.9775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,183.40634,327.6215,186.9422,325.76483,187.24963,325.98474,188.07402,330.8215,188.00362,330.92377,185.27687,331.72647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
