x,y
204.83,351.237
305.56,418.116
790.36,388.781
556.61804,134.507
84.585,302.15002
317.97302,307.51602
756.81604,393.172
326.20602,287.15402
840.138,239.584
124.70699,270.355
742.924,239.849
776.555,182.138
196.44,373.259
747.994,348.86502
249.23,263.583
330.006,458.44302
564.648,358.036
774.44904,264.04102
110.548996,193.46399
446.41,228.79
782.971,224.657
500.211,422.642
219.42099,494.087
464.324,419.64603
305.945,442.52502
182.692,398.56
636.568,434.09402
417.711,485.80502
552.958,346.928
427.127,578.486
218.31099,348.40402
798.853,148.507
843.946,315.483
486.293,202.508
643.279,355.72
734.075,158.248
567.515,278.432
168.511,453.21002
298.58002,339.449
390.89,372.881
237.476,522.51
544.357,108.625
464.118,229.36699
348.845,526.67804
547.17,554.844
750.87604,276.96503
217.675,328.64502
190.50299,357.949
762.33203,265.449
620.952,508.74503
828.333,282.151
424.59802,354.48102
324.323,457.08902
492.41602,357.139
188.116,492.575
474.463,408.075
264.81702,460.065
362.643,601.339
532.958,523.412
685.239,217.51399
174.323,227.42299
771.481,344.601
281.03802,460.937
442.53,254.787
328.937,509.32602
101.08199,305.82
379.42603,471.475
796.409,323.043
79.76299,315.871
479.16,448.039
595.304,109.897995
155.46199,409.004
799.744,380.77002
748.734,253.33699
389.156,252.437
360.091,539.51404
635.519,378.85
516.145,181.478
508.26,281.815
541.39,345.911
174.937,305.02103
269.371,300.612
493.209,473.669
220.069,474.14502
632.974,389.043
370.28802,320.851
194.174,350.54602
545.406,235.07399
547.36304,397.321
437.34702,157.368
797.413,376.932
376.00702,488.112
358.95602,520.49603
373.031,488.574
791.628,300.75
658.562,170.92299
282.631,301.93802
649.029,394.668
599.158,486.523
702.089,373.164
676.32404,272.05402
572.804,328.78802
376.27002,516.27203
802.589,267.923
353.333,490.798
367.435,544.75104
230.782,463.474
845.412,277.034
463.332,422.444
598.74,134.549
663.25104,353.622
701.489,434.71802
488.25803,405.341
743.635,262.892
87.656,450.682
594.456,493.122
495.698,206.581
731.739,202.413
464.81802,371.893
722.782,415.03702
245.646,471.21002
420.487,428.436
386.621,377.22302
191.122,404.64102
611.242,246.168
155.286,222.07399
265.74402,251.442
774.747,175.196
707.14703,349.22302
549.269,205.331
563.601,108.050995
823.177,309.66702
304.268,365.707
225.304,504.144
