n,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
5,611.12537,319.54242,611.3938,320.8106,609.7027,323.23822,607.0409,322.54898,606.5036,320.08682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,306.78885,386.41388,307.30664,387.89893,306.57678,388.9786,304.3531,388.63226,304.22406,388.25775,305.0195,386.36218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,717.50793,343.4381,715.4127,340.28912,717.94403,339.02048,719.088,339.56152,719.7256,343.47647,719.1952,343.8655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,92.45473,355.2292,93.55603,353.81647,93.49633,353.35782,92.737305,352.625,90.914696,352.68958,89.82773,353.9459,90.36823,354.82825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,138.272,437.56458,143.31602,437.55533,144.53284,442.7621,137.99461,444.73853,136.05942,442.75986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,817.4587,207.27162,819.3078,210.88286,817.2452,213.31116,816.14954,213.51343,813.5404,212.2341,812.75073,210.10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,751.9435,221.05766,752.0921,218.42305,751.135,217.60954,749.284,219.19148,749.4244,221.91689,750.45374,221.95491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,758.6994,246.4422,760.196,247.25659,760.473,250.00919,759.5095,250.64021,756.9755,249.52174,756.76056,248.96953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,661.84625,343.66855,660.59436,343.43152,658.94855,341.70956,660.1345,339.66653,661.0918,339.16446,664.3616,340.8735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,426.10892,248.05617,427.51456,249.98793,425.43167,252.35603,424.7906,252.6501,423.72852,247.77203,423.87897,247.65723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,3128.5005,-5087.9863,4294.7427,-4058.3772,867.3045,117.9108,852.0323,123.460464,829.4865,117.89996,828.0482,116.31962,821.57556,93.53859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,503.62592,135.791,503.58737,135.82538,502.95398,135.6581,499.19763,133.03763,499.30344,130.35396,503.18365,129.4582,504.27576,134.07745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
